Country,Country Code,# Clubs,Governing Body,National Code,Enable Nation,Enable Club
Afghanistan,AFG,0,AFC,2e28ea52,True,False
Albania,ALB,17,UEFA,b44b9eb7,True,True
Algeria,ALG,0,CAF,1e2dba57,True,False
American Samoa,ASA,0,OFC,7cf9bd85,True,False
Andorra,AND,11,UEFA,b29753f4,True,True
Angola,ANG,0,CAF,ca8ead5b,True,False
Anguilla,AIA,0,CONCACAF,f6472561,True,False
Antigua and Barbuda,ATG,1,CONCACAF,78c13166,True,False
Argentina,ARG,41,CONMEBOL,f9fddd6e,True,False
Armenia,ARM,16,UEFA,95d6caec,True,True
Aruba,ARU,0,CONCACAF,824a1c5a,True,False
Australia,AUS,24,AFC,b90bf4f9,True,False
Austria,AUT,43,UEFA,d5121f10,True,True
Azerbaijan,AZE,21,UEFA,d08da289,True,True
Bahamas,BAH,0,CONCACAF,cb85da3f,True,False
Bahrain,BHR,0,AFC,393a75f3,True,False
Bangladesh,BAN,0,AFC,73ccbede,True,False
Barbados,BRB,0,CONCACAF,5e9f5812,True,False
Belarus,BLR,18,UEFA,f6725d1c,True,True
Belgium,BEL,69,UEFA,361422b9,True,True
Belize,BLZ,0,CONCACAF,29fd8299,True,False
Benin,BEN,0,CAF,d738fa07,True,False
Bermuda,BER,0,CONCACAF,9cf961c4,True,False
Bhutan,BHU,0,AFC,e71dc1ac,True,False
Bolivia,BOL,31,CONMEBOL,1bd2760c,True,False
Bonaire,BOE,0,CONCACAF,,False,False
Bosnia and Herzegovina,BIH,18,UEFA,6c5ef1c3,True,True
Botswana,BOT,0,CAF,efd75073,True,False
Brazil,BRA,102,CONMEBOL,304635c3,True,False
British Virgin Islands,VGB,0,CONCACAF,06e01375,True,False
Brunei Darussalam,BRU,0,AFC,2fd8eea8,True,False
Bulgaria,BUL,48,UEFA,06d209d4,True,True
Burkina Faso,BFA,0,CAF,a30fa613,True,False
Burundi,BDI,0,CAF,8520a911,True,False
Cambodia,CAM,0,AFC,54664ad7,True,False
Cameroon,CMR,0,CAF,896550da,True,False
Canada,CAN,21,CONCACAF,9c6d90a0,True,False
Cape Verde,CPV,0,CAF,31fa6fa6,True,False
Cayman Islands,CAY,0,CONCACAF,5d34f12c,True,False
Central African Republic,CTA,0,CAF,02ab2e7b,True,False
Chad,CHA,0,CAF,edafdad3,True,False
Chile,CHI,28,CONMEBOL,7fd9c2a2,True,False
China PR,CHN,34,AFC,77e8077f,True,False
Chinese Taipei,TPE,0,AFC,37d9c9b5,True,False
Colombia,COL,29,CONMEBOL,ab73cfe5,True,False
Commonwealth of Independent States,CIS,0,FIFA,,False,False
Comoros,COM,0,CAF,fe674fb0,True,False
Congo,CGO,0,CAF,fba72b23,True,False
Congo DR,COD,0,CAF,9be9f315,True,False
Cook Islands,COK,0,OFC,890a06d7,True,False
Costa Rica,CRC,0,CONCACAF,1ea5ab66,True,False
Côte d'Ivoire,CIV,0,CAF,24772b12,True,False
Croatia,CRO,27,UEFA,7b08e376,True,True
Cuba,CUB,0,CONCACAF,9038ec62,True,False
Curaçao,CUW,0,CONCACAF,e0f5893a,True,False
Cyprus,CYP,14,UEFA,5d77335a,True,True
Czech Republic,CZE,35,UEFA,2740937c,True,True
Czechoslovakia,TCH,0,FIFA,969248b8,True,False
Denmark,DEN,43,UEFA,29a4e4af,True,True
